Year,Titled,Qualified,Approved,Rejected,Failed,Withdrawn,ProportionQualified
1971,7,1,0,1,6,0,0.14285714285714285
1972,15,8,3,5,7,0,0.5333333333333333
1973,7,2,1,1,5,0,0.2857142857142857
1974,33,2,0,2,31,0,0.06060606060606061
1975,10,1,0,1,9,0,0.1
1976,24,1,0,1,23,0,0.041666666666666664
1977,16,4,2,2,12,0,0.25
1978,20,1,1,0,19,0,0.05
1979,41,3,0,3,38,0,0.07317073170731707
1980,29,4,2,2,24,1,0.13793103448275862
1981,30,5,3,2,23,2,0.16666666666666666
1982,17,2,0,2,15,0,0.11764705882352941
1983,28,6,2,2,21,1,0.21428571428571427
1984,16,3,1,2,13,0,0.1875
1985,18,4,2,2,13,1,0.2222222222222222
1986,15,3,3,0,12,0,0.2
1987,39,12,6,6,24,3,0.3076923076923077
1988,25,5,2,3,20,0,0.2
1989,34,11,4,7,22,1,0.3235294117647059
1990,33,7,2,5,23,3,0.21212121212121213
1991,29,4,2,2,22,3,0.13793103448275862
1992,30,4,1,3,23,3,0.13333333333333333
1993,29,2,1,1,25,2,0.06896551724137931
1994,35,6,2,4,28,1,0.17142857142857143
1995,37,10,5,5,23,4,0.2702702702702703
1996,38,8,2,6,28,2,0.21052631578947367
1997,53,7,4,3,44,2,0.1320754716981132
1998,37,5,3,2,29,3,0.13513513513513514
1999,46,9,2,6,27,10,0.1956521739130435
2000,31,1,1,0,30,0,0.03225806451612903
2001,37,5,1,4,25,7,0.13513513513513514
2002,27,1,1,0,24,2,0.037037037037037035
2003,45,8,4,4,37,0,0.17777777777777778
2004,48,5,1,4,39,4,0.10416666666666667
2005,109,9,1,8,97,3,0.08256880733944955
2006,53,9,1,8,41,3,0.16981132075471697
2007,72,9,5,4,52,11,0.125
2008,39,4,1,3,27,8,0.10256410256410256
2009,73,9,5,4,58,6,0.1232876712328767
2010,55,4,1,3,48,3,0.07272727272727272
2011,53,6,2,4,45,2,0.11320754716981132
2012,49,5,2,3,44,0,0.10204081632653061
2013,35,2,0,1,29,4,0.05714285714285714
2014,34,1,1,0,32,1,0.029411764705882353
