year,pop
1971,20345939
1972,20585469
1973,20868728
1974,21173865
1975,21537849
1976,21935909
1977,22352396
1978,22835958
1979,23256880
1980,23667902
1981,24285933
1982,24820009
1983,25360026
1984,25844393
1985,26441109
1986,27102237
1987,27777158
1988,28464249
1989,29218164
1990,29811427
1991,30414114
1992,30875920
1993,31147208
1994,31317179
1995,31493525
1996,31780829
1997,32217708
1998,32682794
1999,33145121
2000,33871653
2001,33987977
2002,34479458
2003,34871843
2004,35253159
2005,35574576
2006,35827943
2007,36021202
2008,36250311
2009,36604337
2010,37333601
2011,37668681
2012,37999878
2013,38332521
